0 97
1 104
2 96
3 99
4 96
5 102
6 102
7 102
8 105
9 101
10 98
11 96
12 102
13 95
14 101
15 101
16 104
17 95
18 102
19 99
20 98
21 104
22 96
23 100
24 95
25 95
26 95
27 105
28 103
29 95
30 101
31 105
32 98
33 101
34 95
35 103
36 98
37 102
38 102
39 103
40 98
41 100
42 98
43 105
44 98
45 102
46 99
47 95
48 101
49 103
50 105
51 96
52 97
53 105
54 99
55 96
56 100
57 103
58 101
59 103
60 105
61 98
62 99
63 99
64 104
65 102
66 103
67 101
68 104
69 95
70 102
71 98
72 101
73 101
74 105
75 97
76 100
77 103
78 105
79 100
80 96
81 102
82 105
83 103
84 96
85 97
86 103
87 101
88 100
89 102
90 95
91 102
92 95
93 99
94 104
95 109
96 104
97 104
98 101
99 105
